Date,Price
2017-04-11,43.3
2017-04-12,43.11
2017-04-13,46.31
2017-04-14,46.76
2017-04-15,47.18
2017-04-16,48.19
2017-04-17,48.05
2017-04-18,48.3
2017-04-19,47.26
2017-04-20,48.13
2017-04-21,48.14
2017-04-22,48.17
2017-04-23,48.17
2017-04-24,48.87
2017-04-25,49.81
2017-04-26,49.91
2017-04-27,52.29
2017-04-28,62.13
2017-04-29,66.78
2017-04-30,68.35
2017-05-01,73.09
2017-05-02,74.38
2017-05-03,75.76
2017-05-04,79.43
2017-05-05,92.22
2017-05-06,90.95
2017-05-07,89.87
2017-05-08,89.51
2017-05-09,80.39
2017-05-10,85.29
2017-05-11,88.48
2017-05-12,88.66
2017-05-13,86.66
2017-05-14,89.61
2017-05-15,86.83
2017-05-16,89.12
2017-05-17,84.43
2017-05-18,89.84
2017-05-19,97.05
2017-05-20,124.7
2017-05-21,125.89
2017-05-22,152.47
2017-05-23,169.93
2017-05-24,182.45
2017-05-25,170.51
2017-05-26,150.28
2017-05-27,120.44
2017-05-28,157.6
2017-05-29,164.53
2017-05-30,189.29
2017-05-31,215.57
2017-06-01,214.48
2017-06-02,219.58
2017-06-03,219.42
2017-06-04,223.98
2017-06-05,243.05
2017-06-06,246.84
2017-06-07,254.04
2017-06-08,253.98
2017-06-09,261.75
2017-06-10,282.01
2017-06-11,318.17
2017-06-12,341.16
2017-06-13,370.06
2017-06-14,342.21
2017-06-15,300.7
2017-06-16,341.42
2017-06-17,364.0
2017-06-18,368.84
2017-06-19,369.76
2017-06-20,350.94
2017-06-21,319.48
2017-06-22,330.62
2017-06-23,334.99
2017-06-24,322.09
2017-06-25,284.65
2017-06-26,238.65
2017-06-27,227.14
2017-06-28,276.41
2017-06-29,297.37
2017-06-30,288.44
2017-07-01,268.62
2017-07-02,262.52
2017-07-03,281.18
2017-07-04,273.11
2017-07-05,261.45
2017-07-06,265.51
2017-07-07,244.17
2017-07-08,236.55
2017-07-09,242.14
2017-07-10,196.96
2017-07-11,183.39
2017-07-12,189.59
2017-07-13,200.07
2017-07-14,187.37
2017-07-15,170.65
2017-07-16,133.72
2017-07-17,158.04
2017-07-18,182.06
2017-07-19,191.74
2017-07-20,203.22
2017-07-21,213.01
2017-07-22,216.87
2017-07-23,217.72
2017-07-24,222.45
2017-07-25,195.85
2017-07-26,194.78
2017-07-27,201.26
2017-07-28,192.3
2017-07-29,179.65
2017-07-30,196.15
2017-07-31,193.41
2017-08-01,204.69
2017-08-02,218.12
2017-08-03,219.89
2017-08-04,222.06
2017-08-05,221.95
2017-08-06,252.85
2017-08-07,256.69
